0.875,1,0.93333,0.9807
0.81579,0.96875,0.88571,0.93189
0.5625,0.84906,0.67669,0.81143
0.9375,0.9375,0.9375,0.97148
0.9,1,0.94737,0.99141
0.675,0.72973,0.7013,0.81742
0.95,1,0.97436,0.99695
0.9375,0.98684,0.96154,0.98227
1,0.96386,0.9816,0.99855
1,0.97531,0.9875,0.99968
0.9875,0.8587,0.9186,0.98169
0.875,1,0.93333,0.98625
0.9875,0.9875,0.9875,0.9943
1,0.96386,0.9816,0.9984
0.975,1,0.98734,0.98734
0.8375,0.78824,0.81212,0.89371
0.92647,1,0.96183,0.99584
1,0.98765,0.99379,0.99996
1,1,1,1
0.97368,0.69811,0.81319,0.88796
0.4386,0.60976,0.5102,0.65666
1,1,1,1
0.9875,0.97531,0.98137,0.99629
